RL,Vin,Iin,Pin,Vout,Iout,Pout,Eff,Is1,Is2,Is3,Is4,Is5,Is6,Is7,Is8
15.0,400,21.1853322226042,8474.13288904167,199.146824480955,13.2764549653973,2643.96384672328,0.312004057682683,16.166261267315,16.1649032098124,16.1649032119414,16.1662612695807,47.740743404382,47.7318351666136,47.7318351662131,47.7407434038714
16.07,400,21.5081097445757,8603.24389783026,203.801319565815,12.6809935391948,2584.40321669347,0.300398692328746,16.3802828828314,16.3787183291168,16.3787183314139,16.3802828851162,48.522560829727,48.5133363207607,48.5133363203558,48.5225608292732
17.14,400,21.8123644396873,8724.9457758749,208.122919425997,12.1404732819998,2526.71074266311,0.289596154241972,16.5832268768897,16.5815027757869,16.5815027777994,16.5832268794383,49.2585786931709,49.2490890248838,49.2490890244933,49.2585786926726
18.21,400,22.0859301665164,8834.37206660657,211.963264316403,11.6371896980068,2466.65671585874,0.279211323369836,16.7660509805232,16.764254204853,16.764254206997,16.7660509827835,49.9198034528386,49.9100372179251,49.9100372174526,49.9198034523707
19.29,400,22.3374053669356,8934.96214677425,215.520784776808,11.1751600811385,2408.47927069343,0.269556740266991,16.9338916928506,16.9319513873593,16.9319513895167,16.9338916948749,50.5275320610719,50.5173996645558,50.5173996641161,50.5275320606302
20.36,400,22.5691345206318,9027.6538082527,218.733835826633,10.7448426262405,2350.2606429911,0.260340138524429,17.089422607545,17.0873639891248,17.0873639912687,17.0894226096869,51.0868334615389,51.0765237756008,51.0765237751421,51.0868334610729
21.43,400,22.78413712294,9113.65484917599,221.768327241263,10.3491748056932,2295.119184986,0.251833015729525,17.2338793644453,17.2316393851607,17.2316393871483,17.2338793663246,51.6058579905281,51.5953731482842,51.5953731478438,51.6058579901219
22.5,400,22.9817469962486,9192.69879849944,224.482843214642,9.97701525398394,2239.66875101016,0.243635606920543,17.3664187028947,17.3640996719326,17.3640996740815,17.3664187047967,52.0824957810159,52.0717393595551,52.0717393591213,52.0824957805937
23.57,400,23.1757178678946,9270.28714715784,227.132294374221,9.63592719881808,2188.63025309051,0.236090880287513,17.4977867744629,17.4954380598842,17.4954380621414,17.4977867764954,52.5501197954666,52.5390812830046,52.5390812826736,52.5501197949919
24.64,400,23.3469482935167,9338.77931740669,229.52697877491,9.3141220706535,2137.84229881781,0.228920957028404,17.6131232322919,17.6106164037692,17.6106164058381,17.6131232344584,52.9627638905809,52.9516323643502,52.9516323639361,52.9627638901413
25.71,400,23.5116946519461,9404.67786077844,231.799405694654,9.01441632456157,2089.53634671756,0.222180533735433,17.7244203997102,17.7218193357815,17.7218193379972,17.724420401856,53.3597969136194,53.348449477675,53.3484494772025,53.3597969132021
26.79,400,23.6673620746648,9466.94482986592,233.922739656937,8.73312027152268,2042.87541966812,0.215790358598409,17.8296291101063,17.8268988534201,17.8268988555621,17.8296291120561,53.7346768767174,53.7231657325082,53.7231657320186,53.7346768763695
27.86,400,23.8098656865592,9523.94627462369,235.864131801729,8.46693057790407,1997.04522978285,0.209686738269821,17.9260200548572,17.9232592146107,17.9232592166234,17.9260200568979,54.0777700064621,54.0660359185475,54.0660359181656,54.077770005976
28.93,400,23.9436488526769,9577.45954107076,237.693106913655,8.21654372882399,1953.01580699608,0.203917938637174,18.0167437933125,18.0138402219418,18.0138402242868,18.0167437953983,54.3995964382806,54.3878821493884,54.3878821489654,54.3995964378906
30.0,400,24.0727567368269,9629.10269473075,239.449070118833,7.98163567062756,1911.19523935907,0.198481135776537,18.1042442975021,18.1013023406443,18.1013023428352,18.1042442994706,54.7102400902149,54.6983365436187,54.6983365431737,54.7102400898496
15.0,401,21.2395225574283,8517.04854552875,199.662801357273,13.3108534238186,2657.68228305567,0.312042636465996,16.2076926272966,16.2063675746063,16.2063675767456,16.2076926295508,47.8631815181403,47.8542040236441,47.8542040232377,47.8631815176478
16.07,401,21.5643568493661,8647.30709659579,204.34293493589,12.7146941110227,2598.15791145844,0.300458614738138,16.4230433822344,16.4214778332745,16.4214778354289,16.4230433846663,48.6499496957975,48.6406933281739,48.6406933277571,48.6499496953664
17.14,401,21.8687772194209,8769.37966498778,208.668334683618,12.1722890924882,2539.97129421707,0.289640931428484,16.6260973676517,16.6243942941962,16.6243942961546,16.6260973702671,49.3863077546404,49.3767646386094,49.3767646382072,49.3863077541376
18.21,401,22.1426497091575,8879.20253337216,212.508649260401,11.6671323773301,2479.3665422487,0.279233020412598,16.8090764167879,16.8072966676278,16.8072966696809,16.8090764190934,50.0482569803091,50.0384220007715,50.0384220002998,50.0482569798807
19.29,401,22.3954422086506,8980.57232566888,216.089096800364,11.2046281338178,2421.19797342065,0.269603972399422,16.9779624887708,16.9759533902966,16.9759533924031,16.9779624907844,50.6590827186195,50.6490157829421,50.6490157825628,50.6590827181415
20.36,401,22.6272275648049,9073.51825348678,219.301370319575,10.7727215723056,2362.47260287787,0.260370072212067,17.1333848947361,17.1313206246106,17.1313206267581,17.133384896907,51.2185999034701,51.2082552406521,51.2082552402019,51.2185999030007
21.43,401,22.842470691871,9159.83074744025,222.340607425633,10.3758811786885,2306.9797238458,0.251858335318095,17.277956819958,17.2757292138862,17.2757292159123,17.2779568218875,51.7381840384959,51.7276521549685,51.7276521545622,51.7381840380912
22.5,401,23.0444913316446,9240.84102398949,225.125817342137,10.0055918818724,2252.51705039836,0.243756714843461,17.4138934200065,17.411547752308,17.4115477544471,17.4138934221565,52.2256004726379,52.214808359231,52.2148083588315,52.2256004721784
23.57,401,23.2353964850583,9317.3939905084,227.726058218987,9.66111721064446,2200.08814037168,0.236126983855453,17.5428819748797,17.5405464000058,17.5405464021753,17.5428819768788,52.6857240438524,52.6746388954918,52.6746388950547,52.6857240434063
24.64,401,23.4110469484064,9387.82982631096,230.134556286581,9.33877734708888,2149.17538103147,0.228932077039578,17.6618817331004,17.6593937720161,17.6593937741049,17.6618817352056,53.1087772671885,53.0976901645414,53.0976901641329,53.1087772667643
25.71,401,23.5737183996717,9453.06107826834,232.421311985386,9.03860155576486,2100.76363210402,0.222231043966643,17.7711169578132,17.7685340540885,17.7685340562307,17.7711169600366,53.501039262702,53.4896257609871,53.4896257605357,53.501039262275
26.79,401,23.728206235425,9515.01070040542,234.531116741081,8.75583302811095,2053.5152980813,0.215818495926001,17.8756213389299,17.8728814292009,17.8728814314697,17.8756213408569,53.8730685575993,53.8615299417293,53.8615299412614,53.8730685572583
27.86,401,23.8697983973693,9571.7891573451,236.458167085515,8.48825495423137,2007.1172082321,0.209690913082001,17.9711619192142,17.9683713100424,17.9683713121483,17.9711619212325,54.2139617992062,54.2022003589632,54.2022003585857,54.2139617987108
28.93,401,24.0078547716535,9627.14976343304,238.330110189744,8.23856357341028,1963.49776425608,0.203954214124108,18.0650503709264,18.0621712583304,18.0621712608215,18.0650503730502,54.5460579796487,54.5342668454779,54.534266845132,54.5460579792773
30.0,401,24.1379761320188,9679.32842893954,240.102726599372,8.00342421997884,1921.64397734837,0.198530713308888,18.1535365664233,18.150536749513,18.1505367517395,18.153536568373,54.8590990684964,54.8472259828304,54.8472259824201,54.8590990680863
